New_Deal_Count,Product_Family,Product_Code,Product_Name
2,HEAT 2014 Premise,HTVCL0007,Voice G.729 Call Compression (P)
7,HEAT 2014 Premise,HTVCL0008,"Ivanti Voice Back Up Perpetual License (P) Perpetual License - Powered by HEAT, Volume Only"
51,HEAT 2014 Premise,HTVCL0009,"Ivanti Voice Agent (P) Perpetual License - Powered by HEAT, Volume Only"
2,HEAT 2014 Premise,HVSSV0001,"Ivanti Voice Agent 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
2,HEAT 2014 Premise,HVSSV0004,"Ivanti Voice Supervisor 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
1,HEAT 2014 Premise,IPCCF0003,HEAT Plus Voice Bundle
6,HEAT 2014 Premise,IPCCF0007,FRS Voice Communication Mgmt HEAT
1,HEAT 2014 Premise,IPCCL0032,Web Statistics Client
1,HEAT 2014 Premise,IPCCL0034,Web Statistics Module
2,HEAT 2014 Premise,IPCCL0086,Web Statistics Module HEAT
1,HEAT 2014 Premise,IPCCL0087,"Ivanti G.729 encoder/decoder Perpetual License - Powered by HEAT, Volume Only"
2,HEAT 2014 Premise,IPCCL0091,"Ivanti FRS Voice Agent Perpetual License - Powered by HEAT, Volume Only"
2,HEAT 2014 Premise,IPCCL0093,FRS Voice Supervisor HEAT
2,HEAT 2014 Premise,IPCSL0004,IPCM Backup/Hot Standby Server HEAT
2,HEAT 2014 Premise,MIG-HCLA-ISMSD-C-L,"Ivanti HEAT Classic - Migration to Service Desk Concurrent Perpetual License, Powered by HEAT"
1,HEAT 2014 Premise,MIG-HCLA-ISMSD-F-L,"Ivanti HEAT Classic - Migration to Service Desk Fixed Perpetual License, Powered by HEAT"
3,HEAT 2014 Premise,MIG-SDENT-ISMC-L,"Ivanti Service Desk Enterprise - Migration to Service Manager Concurrent Perpetual License, Powered by HEAT"
6,HEAT 2014 Premise,MIG-SDENT-ISMF-L,"Ivanti Service Desk Enterprise - Migration to Service Manager Fixed Perpetual License, Powered by HEAT"
1,HEAT 2014 Premise,MIG-SDSTD-SMSD-C-L,"Ivanti Service Desk Standard - Migration to Service Desk Concurrent Perpetual License, Powered by HEAT"
3,HEAT 2014 Premise,MIG-SDSTD-SMSD-F-L,"Ivanti Service Desk Standard - Migration to Service Desk Fixed Perpetual License, Powered by HEAT"
3,HEAT 2014 Premise,MIG-TUM-ISMSM-L,"Ivanti TUM Service Desk - Migration to Service Management Perpetual License, Powered by HEAT"
22,HEAT 2014 PREMISE,SM-HD-CONC-L,"Ivanti Service Manager - Help Desk Concurrent Premise Analyst License, Powered by HEAT"
19,HEAT 2014 PREMISE,SM-HD-FXD-L,"Ivanti Service Manager - Help Desk Fixed (Named) Premise Analyst License, Powered by HEAT"
31,HEAT 2014 Premise,SM-SD-CONC-L,"Ivanti Service Manager - Service Desk Concurrent Premise Analyst License, Powered by HEAT"
33,HEAT 2014 Premise,SM-SD-FXD-L,"Ivanti Service Manager - Service Desk Fixed (Named) Premise Analyst License, Powered by HEAT"
16,HEAT 2014 PREMISE,SM-SM-CONC-L,"Ivanti Service Manager - Service Management Concurrent Premise Analyst License, Powered by HEAT"
14,HEAT 2014 PREMISE,SM-SM-FXD-L,"Ivanti Service Manager - Service Management Fixed (Named) Premise Analyst License, Powered by HEAT"
